County,Pop,Pop_65_%,Pop_AA_%,Pop_H_%,Smoking_%,Obesity_%,Diabetes_%,HIV,uninsured_%,Med_HHI,Unemployment,PCP_num,Alcohol_Abuse_%,Pop_65_num,Pop_AA_num,Pop_H_num,Smoker_num,Obesity_num,Diabetes_num,uninsured_num,Year,Limited_healthy_food,psed,
Cherokee,27194,24,1.4,2.6,23,27,13,59,26,32913,13.8,14,9,6526.56,380.716,707.044,6254.62,7342.38,3535.22,7070.44,2013,33,3219,
Chowan,14853,19.8,34.1,3.6,,30,13,203,23,36231,11.6,11,,2940.894,5064.873,534.708,0,4455.9,1930.89,3416.19,2013,1093,1454,
Clay,10563,24.1,0.9,2.6,25,25,11,72,26,35143,10.7,5,6,2545.683,95.067,274.638,2640.75,2640.75,1161.93,2746.38,2013,172,1145,
Cleveland,97489,15.4,20.7,3,25,32,13,203,22,37390,11.8,52,9,15013.306,20180.223,2924.67,24372.25,31196.48,12673.57,21447.58,2013,5453,12626,
Columbus,57712,15.7,30.3,4.7,24,34,13,367,27,31282,13.9,22,6,9060.784,17486.736,2712.464,13850.88,19622.08,7502.56,15582.24,2013,800,7748,
Craven,104786,15.6,21.8,6.5,24,34,12,342,22,47291,11,73,12,16346.616,22843.348,6811.09,25148.64,35627.24,12574.32,23052.92,2013,6449,15200,
Cumberland,324885,9.6,35.3,9.9,23,33,12,435,22,43863,10.2,241,12,31188.96,114684.405,32163.615,74723.55,107212.05,38986.2,71474.7,2013,40879,61448,
Currituck,23955,13.3,6.1,3.2,,33,10,118,21,55665,7,4,,3186.015,1461.255,766.56,0,7905.15,2395.5,5030.55,2013,648,3358,
Dare,34307,15.8,2.7,6.6,,29,10,134,25,50393,11.8,23,,5420.506,926.289,2264.262,0,9949.03,3430.7,8576.75,2013,3365,5781,
Davidson,162697,14.7,9,6.5,25,29,10,159,25,41631,11.6,52,15,23916.459,14642.73,10575.305,40674.25,47182.13,16269.7,40674.25,2013,10439,20510,
Davie,41552,17.2,6.5,6.4,25,29,10,74,22,50110,10.2,15,13,7146.944,2700.88,2659.328,10388,12050.08,4155.2,9141.44,2013,1115,5634,
Duplin,59542,14.3,25.1,21,20,35,12,362,36,35587,9.8,17,9,8514.506,14945.042,12503.82,11908.4,20839.7,7145.04,21435.12,2013,478,6226,
Durham,273392,10,37.4,13.5,15,30,9,624,23,47007,8.5,318,15,27339.2,102248.608,36907.92,41008.8,82017.6,24605.28,62880.16,2013,16715,61096,
Edgecombe,56041,14.9,56.9,3.9,21,40,13,694,24,32901,15.9,17,10,8350.109,31887.329,2185.599,11768.61,22416.4,7285.33,13449.84,2013,5364,6405,
