County,Pop,Pop_65,Pop_AA,Pop_H,Smoking,Obesity,Diabetes,HIV,uninsured,Med_HHI,Unemployment,PCP_num,Pop_65_num,Pop_AA_num,Pop_H_num,Smoker_num,Obesity_num,Diabetes_num,uninsured_num,Year,psed,Access_healthy_foods_%,Limited_healthy_food
Orange,129083,10.4,13.5,6.3,13,23,6,258,17,51434,4489,392,13424.632,17426.205,8132.229,16780.79,29301.841,7744.98,21944.11,2012,25570,71,36917.738
Pamlico,12422,22.1,22.2,1.4,,28,13,202,22,41442,529,6,2745.262,2757.684,173.908,0,3416.05,1614.86,2732.84,2012,1457,38,7763.75
Pasquotank,41578,13.7,38.5,2.5,33,33,12,269,23,39381,1739,32,5696.186,16007.53,1039.45,13720.74,13845.474,4989.36,9562.94,2012,5920,100,0
Pender,52378,15.1,18.7,5.7,28,32,12,132,24,43573,2612,14,7909.078,9794.686,2985.546,14665.84,16865.716,6285.36,12570.72,2012,6535,43,29907.838
Perquimans,12734,21.1,25.5,1.2,22,33,12,275,21,40772,488,3,2686.874,3247.17,152.808,2801.48,4253.156,1528.08,2674.14,2012,1156,100,0
Person,37667,14.3,27.8,3,26,33,13,208,19,42621,2082,11,5386.381,10471.426,1130.01,9793.42,12505.444,4896.71,7156.73,2012,4904,40,22600.2
Pitt,159057,10.1,33.9,4.7,20,36,9,362,23,39519,8276,288,16064.757,53920.323,7475.679,31811.4,57101.463,14315.13,36583.11,2012,28393,60,63622.8
Polk,19255,24.6,5.3,4.5,22,22,10,125,23,44756,812,14,4736.73,1020.515,866.475,4236.1,4255.355,1925.5,4428.65,2012,2190,50,9627.5
Randolph,142151,13.8,5.9,11,24,30,11,120,26,39648,7837,71,19616.838,8386.909,15636.61,34116.24,41934.545,15636.61,36959.26,2012,16647,60,56860.4
Richmond,45970,14.4,30.6,4.8,29,32,12,301,26,31568,2718,23,6619.68,14066.82,2206.56,13331.3,14526.52,5516.4,11952.2,2012,5164,60,18388
Robeson,129559,10.9,23.8,9,27,41,14,362,32,30627,6957,64,14121.931,30835.042,11660.31,34980.93,53248.749,18138.26,41458.88,2012,13355,75,32389.75
Rockingham,92252,16,19,5.6,31,33,12,166,22,38063,5592,45,14760.32,17527.88,5166.112,28598.12,30627.664,11070.24,20295.44,2012,11307,83,15406.084
